序号,品牌,名称,类型,出厂年份,颜色,价格,电池得分,外观得分,硬盘容量得分,价格得分,处理器得分,屏幕分辨率得分,尺寸得分,重量
1,Apple,2019 MacBook Pro 15.4,高端本,2019,grey white,17088,0.80594,0.67486,0.65422,0.86097,0.76331,0.67284,0.65243,3.15
2,Apple,2019 MacBook Pro 15.4,高端本,2019,grey white,18999,0.80594,0.67486,0.79429,0.86097,0.76331,0.67284,0.65243,3.2
3,Apple,2019 MacBook Pro 15.4,高端本,2019,grey white,21399,0.80594,0.67486,0.79429,0.86097,0.84914,0.67284,0.65243,3.2
4,Apple,2019 MacBook Pro 13.3,高端本,2019,grey white,14288,0.80594,0.67486,0.79429,0.8333,0.5237,0.64189,0.45966,2.55
5,Apple,2019 MacBook Pro 13.3,高端本,2019,grey white,12819,0.80594,0.67486,0.65422,0.84126,0.5237,0.64189,0.45966,2.5
6,Apple,2018 MacBook Pro 13.3,高端本,2018,grey white,12888,0.80594,0.67486,0.65422,0.84246,0.5237,0.64189,0.45966,2.2
7,Apple,2017 MacBook Pro 13.3,高端本,2017,grey white,10888,0.80594,0.67486,0.65965,0.72351,0.5237,0.64189,0.45966,2.2
8,ThinkPad,2019 ThinkPad T490,开发本,2019,black,9999,0.50168,0.43251,0.65422,0.6318,0.6708,0.5,0.4892,2.43
9,ThinkPad,2019 ThinkPad T490,开发本,2019,black,11999,0.50168,0.43251,0.79429,0.81033,0.6708,0.5,0.4892,2.43
10,ThinkPad,2019 ThinkPad T490,开发本,2019,black,15999,0.50168,0.43251,0.79429,0.85458,0.70225,0.5,0.4892,2.43
11,ThinkPad,2019 ThinkPad T490s,高端本,2019,black,7899,0.50168,0.5,0.65422,0.4961,0.49461,0.5,0.4892,2.19
12,ThinkPad,2019 ThinkPad T490s,高端本,2019,black,9099,0.50168,0.5,0.79429,0.55591,0.49461,0.5,0.4892,2.14
13,ThinkPad,2019 ThinkPad T490s,高端本,2019,black,10099,0.50168,0.5,0.79429,0.64177,0.58124,0.5,0.4892,2.14
14,ThinkPad,2019 ThinkPad T490s,高端本,2019,black,13499,0.50168,0.5,0.8445,0.84476,0.6,0.5,0.4892,2.15
15,ThinkPad,2018 ThinkPad T480,开发本,2018,black,8799,0.50168,0.43251,0.65422,0.53674,0.6708,0.5,0.4892,2.55
16,ThinkPad,2018 ThinkPad T480,开发本,2018,black,9499,0.50168,0.43251,0.65422,0.58684,0.70225,0.5,0.4892,2.65
17,ThinkPad,2018 ThinkPad T480,开发本,2018,black,10299,0.50168,0.43251,0.79429,0.66237,0.70225,0.5,0.4892,2.65
18,ThinkPad,2018 ThinkPad X1Carbon,商务本,2018,black,8598,0.5246,0.62201,0.65422,0.52592,0.48432,0.5,0.4892,2.06
19,ThinkPad,2019 ThinkPad X1Carbon,商务本,2019,black,10299,0.5246,0.62201,0.79429,0.66237,0.49461,0.5,0.4892,2.22
20,ThinkPad,2019 ThinkPad X1Carbon,商务本,2019,black,13999,0.5246,0.62201,0.79429,0.83859,0.6,0.5,0.4892,2.22
21,ThinkPad,2019 ThinkPad X390,商务本,2019,black,7299,0.5246,0.56749,0.79429,0.47253,0.49461,0.5,0.45966,2.16
22,ThinkPad,2019 ThinkPad X390,商务本,2019,black,8999,0.5246,0.56749,0.65422,0.54908,0.58124,0.5,0.45966,2.16
23,ThinkPad,2019 ThinkPad X390,商务本,2019,black,9999,0.5246,0.56749,0.79429,0.6318,0.58124,0.5,0.45966,2.19
24,ThinkPad,2019 ThinkPad X390,商务本,2019,black,10999,0.5246,0.56749,0.79429,0.73434,0.6,0.5,0.45966,2.19
25,ThinkPad,2019 ThinkPad X390,商务本,2019,black,12999,0.5246,0.56749,0.8445,0.84393,0.6,0.5,0.45966,2.22
26,Dell,DELLXPS13.3,高端本,2018,sliver,6999,0.5246,0.62201,0.65422,0.45962,0.49461,0.5,0.45966,2.45
27,Dell,DELLXPS13.3,高端本,2018,sliver,7999,0.5246,0.62201,0.65422,0.49996,0.58124,0.5,0.45966,2.45
28,Dell,DELLXPS13.3,高端本,2018,sliver,9999,0.5246,0.62201,0.79429,0.6318,0.6,0.5,0.45966,2.45
29,Dell,DELLXPS13.3,高端本,2019,sliver white,13999,0.5246,0.62201,0.65422,0.83859,0.58124,0.5,0.45966,2.48
30,Dell,DELLXPS15.6,开发本,2018,sliver,8999,0.50168,0.62201,0.79429,0.54908,0.55241,0.5,0.67524,3.5
31,Dell,DELLXPS15.6,开发本,2018,sliver,12999,0.50168,0.62201,0.8445,0.84393,0.55241,0.5,0.67524,3.55
32,Dell,DELLXPS15.6,开发本,2018,sliver,14999,0.50168,0.62201,0.8445,0.84397,0.6708,0.5,0.67524,3.55
33,Dell,DELLXPS15.6,开发本,2018,sliver,16999,0.50168,0.62201,0.8445,0.86096,0.70225,0.5,0.67524,3.55
34,MicroSoft,MicroSoft Surface Book,开发本,2018,sliver,9988,0.5246,0.62201,0.65422,0.63073,0.55241,0.67633,0.46431,3.16
35,MicroSoft,MicroSoft Surface Book,开发本,2018,sliver,15068,0.5246,0.62201,0.65422,0.84484,0.6708,0.67633,0.46431,3.42
36,MicroSoft,MicroSoft Surface Book,开发本,2018,sliver,18868,0.5246,0.62201,0.79429,0.86097,0.70225,0.67633,0.46431,3.44
37,MicroSoft,MicroSoft Surface Book,开发本,2018,sliver,22958,0.5246,0.62201,0.8445,0.86097,0.70225,0.67633,0.46431,3.12
38,Lenovo,Lenovo小新Pro13.3,轻薄本,2019,sliver,7299,0.5,0.56749,0.79429,0.47253,0.63024,0.64189,0.45966,2.5
39,Lenovo,Lenovo小新Pro13.3,轻薄本,2019,sliver,7999,0.5,0.56749,0.79429,0.49996,0.70225,0.64189,0.45966,2.5
40,Lenovo,Lenovo小新Pro13.3,轻薄本,2018,sliver,5499,0.5,0.56749,0.79429,0.39725,0.49461,0.64189,0.45966,2.12
41,Lenovo,Lenovo小新Pro13.3,轻薄本,2018,sliver,6299,0.5,0.56749,0.79429,0.42897,0.6,0.64189,0.45966,2.12
42,Lenovo,Lenovo小新Air14,轻薄本,2018,grey,5199,0.49837,0.56749,0.79429,0.38563,0.59126,0.5,0.4892,2.2
43,Lenovo,Lenovo小新Air14,轻薄本,2018,grey,5999,0.49837,0.56749,0.79429,0.41683,0.58913,0.5,0.4892,2.14
44,Lenovo,Lenovo小新Air15,轻薄本,2018,grey,5699,0.49837,0.56749,0.79429,0.405,0.59126,0.5,0.67524,2.57
45,Lenovo,Lenovo小新Air15,轻薄本,2018,grey,6499,0.49837,0.56749,0.8445,0.43734,0.58913,0.5,0.67524,2.55
46,Lenovo,Lenovo Y9000X 15.6,游戏本,2018,grey,6999,0.42769,0.43251,0.79429,0.45962,0.6,0.5,0.67524,3.38
47,Lenovo,Lenovo Y9000X 15.6,游戏本,2018,grey,8699,0.42769,0.43251,0.8445,0.53118,0.6,0.5,0.67524,3.38
48,Lenovo,Lenovo Y9000X 15.6,游戏本,2018,grey,10999,0.42769,0.43251,0.8445,0.73434,0.6,0.5,0.67524,3.38
49,Lenovo,Lenovo YOGA C740,轻薄本,2018,grey gold,6299,0.5246,0.62201,0.79429,0.42897,0.6,0.5,0.4892,2.28
50,Lenovo,Lenovo YOGA C940,轻薄本,2019,grey,9999,0.5246,0.62201,0.79429,0.6318,0.6,0.67884,0.4892,2.58
51,Lenovo,Lenovo YOGA C940,轻薄本,2019,grey,10999,0.5246,0.62201,0.8445,0.73434,0.6,0.67884,0.4892,2.58
52,Lenovo,Lenovo小新,轻薄本,2019,grey,4999,0.49837,0.56749,0.8445,0.37773,0.49461,0.5,0.4892,2.22
53,Lenovo,Lenovo小新,轻薄本,2019,grey,6299,0.49837,0.56749,0.65422,0.42897,0.58124,0.5,0.4892,2.22
54,Lenovo,Lenovo小新,轻薄本,2019,grey sliver,6499,0.49837,0.56749,0.8445,0.43734,0.58124,0.5,0.4892,2.22
55,Lenovo,Lenovo YOGA920,商务本,2019,brown,10499,0.5246,0.62201,0.65422,0.68338,0.49461,0.5,0.4892,3.46
56,Lenovo,Lenovo YOGA910,商务本,2018,gold,8199,0.5246,0.62201,0.65422,0.50793,0.49461,0.5,0.4892,2.88
57,Dell,Dell灵越5000,轻薄本,2018,sliver,4199,0.42769,0.5,0.65422,0.34262,0.49461,0.5,0.4892,2.54
58,Dell,Dell灵越5000,轻薄本,2018,sliver,5299,0.42769,0.5,0.79429,0.38952,0.58124,0.5,0.4892,2.54
